major,course,year,year2,rythm,erasmus,gender,grade
M1 Finance,International finance,2012-2013,2012,FI,0,F,12.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,10.3
M1 Finance,International finance,2012-2013,2012,FI,0,F,11.8
M1 Finance,International finance,2012-2013,2012,FI,0,M,9.5
M1 Finance,International finance,2012-2013,2012,FI,0,F,15.2
M1 Finance,International finance,2012-2013,2012,FI,0,M,13.1
M1 Finance,International finance,2012-2013,2012,FI,0,F,14.2
M1 Finance,International finance,2012-2013,2012,FI,0,M,11.8
M1 Finance,International finance,2012-2013,2012,FI,0,F,10.8
M1 Finance,International finance,2012-2013,2012,FI,0,M,10.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,15.6
M1 Finance,International finance,2012-2013,2012,FI,0,F,11.8
M1 Finance,International finance,2012-2013,2012,FI,0,F,12.0
M1 Finance,International finance,2012-2013,2012,FI,0,M,10.3
M1 Finance,International finance,2012-2013,2012,FI,0,M,14.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,9.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,8.5
M1 Finance,International finance,2012-2013,2012,FI,0,F,12.3
M1 Finance,International finance,2012-2013,2012,FI,0,F,9.5
M1 Finance,International finance,2012-2013,2012,FI,0,F,8.5
M1 Finance,International finance,2012-2013,2012,FI,0,M,10.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,10.5
M1 Finance,International finance,2012-2013,2012,FI,0,F,13.2
M1 Finance,International finance,2012-2013,2012,FI,0,M,11.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,12.8
M1 Finance,International finance,2012-2013,2012,FI,0,F,12.5
M1 Finance,International finance,2012-2013,2012,FI,0,F,11.0
M1 Finance,International finance,2012-2013,2012,FI,0,F,12.0
M1 Finance,International finance,2012-2013,2012,FI,0,M,11.5
M1 Finance,International finance,2012-2013,2012,FI,0,F,11.8
M1 Finance,International finance,2012-2013,2012,FI,1,F,11.5
M1 Finance,International finance,2012-2013,2012,FI,1,F,14.5
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,12.5
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,8.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,8.5
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,13.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,15.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,9.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,13.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,10.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,12.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,0.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,10.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,7.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,8.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,8.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,9.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,8.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,0.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,11.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,9.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,13.5
M2 Portfolio management,Risk and performance,2012-2013,2012,FC,0,F,9.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,M,10.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,6.0
M2 Portfolio management,Risk and performance,2012-2013,2012,FA,0,F,10.0
M1 CCA,Financial markets,2014-2015,2014,FI,0,M,8.0
M1 CCA,Financial markets,2014-2015,2014,FI,0,F,10.5
M1 CCA,Financial markets,2014-2015,2014,FI,0,F,11.5
M1 CCA,Financial markets,2014-2015,2014,FI,0,M,14.0
