item,price,year,km,warranty,owners,pro
E109843479,7990,2012,124884,3,,1
W102316003,5990,2007,140000,3,4,1
E109833562,8200,2012,128000,6,,1
E110332445,4990,2008,146000,3,2,1
W102303020,4990,2007,165023,3,3,1
E109778403,7990,2011,142000,6,3,1
E108058315,3500,2007,212000,3,3,1
E110247912,4990,2010,185000,0,,0
E110305219,5490,2012,229200,3,2,1
E108052569,8690,2011,132950,12,,1
W102332489,4490,2008,189090,3,1,1
E109665890,7990,2011,49769,3,1,1
W102268007,6500,2008,153500,3,3,1
E110304480,3990,2011,196887,0,,0
W102329673,7240,2012,128400,3,3,1
E110322959,6490,2010,167790,3,,1
E110090691,10490,2012,82500,0,2,0
B101965691,5990,2009,121000,0,3,0
B101960822,6000,2009,131000,0,1,0
W102321244,3790,2008,211000,3,2,1
W102277928,6490,2011,147000,3,2,1
E110253761,4490,2007,232698,3,,1
B101963912,6290,2012,162600,0,2,0
W102217998,7990,2011,70000,0,1,0
B101959321,5700,2008,90600,0,3,0
B101954362,3000,2007,271000,0,3,0
W102221078,8990,2011,131000,3,3,1
B101963339,3390,2007,178250,0,4,0
